adcode,center,citycode,name,province
441800,"113.051227,23.685022",0763,清远市,广东省
442000,"113.382391,22.521113",0760,中山市,广东省
150300,"106.825563,39.673734",0473,乌海市,内蒙古自治区
150800,"107.416959,40.757402",0478,巴彦淖尔市,内蒙古自治区
150200,"109.840405,40.658168",0472,包头市,内蒙古自治区
150700,"119.758168,49.215333",0470,呼伦贝尔市,内蒙古自治区
150600,"109.99029,39.817179",0477,鄂尔多斯市,内蒙古自治区
152900,"105.706422,38.844814",0483,阿拉善盟,内蒙古自治区
150400,"118.956806,42.275317",0476,赤峰市,内蒙古自治区
150500,"122.263119,43.617429",0475,通辽市,内蒙古自治区
152200,"122.070317,46.076268",0482,兴安盟,内蒙古自治区
150900,"113.114543,41.034126",0474,乌兰察布市,内蒙古自治区
152500,"116.090996,43.944018",0479,锡林郭勒盟,内蒙古自治区
150100,"111.670801,40.818311",0471,呼和浩特市,内蒙古自治区
232700,"124.711526,52.335262",0457,大兴安岭地区,黑龙江省
230900,"131.015584,45.771266",0464,七台河市,黑龙江省
230400,"130.277487,47.332085",0468,鹤岗市,黑龙江省
230700,"128.899396,47.724775",0458,伊春市,黑龙江省
231200,"126.99293,46.637393",0455,绥化市,黑龙江省
230100,"126.642464,45.756967",0451,哈尔滨市,黑龙江省
231100,"127.499023,50.249585",0456,黑河市,黑龙江省
230200,"123.95792,47.342081",0452,齐齐哈尔市,黑龙江省
231000,"129.618602,44.582962",0453,牡丹江市,黑龙江省
230300,"130.975966,45.300046",0467,鸡西市,黑龙江省
230600,"125.11272,46.590734",0459,大庆市,黑龙江省
230500,"131.157304,46.643442",0469,双鸭山市,黑龙江省
230800,"130.361634,46.809606",0454,佳木斯市,黑龙江省
659007,"82.353656,44.840524",1909,双河市,新疆维吾尔自治区
659006,"85.501218,41.827251",1996,铁门关市,新疆维吾尔自治区
659005,"87.824932,47.353177",1906,北屯市,新疆维吾尔自治区
654200,"82.985732,46.746301",0901,塔城地区,新疆维吾尔自治区
652700,"82.074778,44.903258",0909,博尔塔拉蒙古自治州,新疆维吾尔自治区
659008,"80.63579,43.6832",1999,可克达拉市,新疆维吾尔自治区
659009,"79.287372,37.207994",1903,昆玉市,新疆维吾尔自治区
653200,"79.92533,37.110687",0903,和田地区,新疆维吾尔自治区
654300,"88.13963,47.848393",0906,阿勒泰地区,新疆维吾尔自治区
650200,"84.873946,45.595886",0990,克拉玛依市,新疆维吾尔自治区
659001,"86.041075,44.305886",0993,石河子市,新疆维吾尔自治区
659004,"87.526884,44.167401",1994,五家渠市,新疆维吾尔自治区
652300,"87.304012,44.014577",0994,昌吉回族自治州,新疆维吾尔自治区
652800,"86.150969,41.768552",0996,巴音郭楞蒙古自治州,新疆维吾尔自治区
650100,"87.617733,43.792818",0991,乌鲁木齐市,新疆维吾尔自治区
654000,"81.317946,43.92186",0999,伊犁哈萨克自治州,新疆维吾尔自治区
652900,"80.265068,41.170712",0997,阿克苏地区,新疆维吾尔自治区
659002,"81.285884,40.541914",1997,阿拉尔市,新疆维吾尔自治区
653100,"75.989138,39.467664",0998,喀什地区,新疆维吾尔自治区
659003,"79.077978,39.867316",1998,图木舒克市,新疆维吾尔自治区
653000,"76.172825,39.713431",0908,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
650500,"93.51316,42.833248",0902,哈密市,新疆维吾尔自治区
650400,"89.184078,42.947613",0995,吐鲁番市,新疆维吾尔自治区
420300,"110.787916,32.646907",0719,十堰市,湖北省
420600,"112.144146,32.042426",0710,襄阳市,湖北省
420800,"112.204251,31.03542",0724,荆门市,湖北省
420500,"111.290843,30.702636",0717,宜昌市,湖北省
420100,"114.298572,30.584355",027,武汉市,湖北省
421100,"114.879365,30.447711",0713,黄冈市,湖北省
429006,"113.165862,30.653061",1728,天门市,湖北省
420900,"113.926655,30.926423",0712,孝感市,湖北省
429005,"112.896866,30.421215",2728,潜江市,湖北省
422800,"109.48699,30.283114",0718,恩施土家族苗族自治州,湖北省
429004,"113.453974,30.364953",0728,仙桃市,湖北省
421000,"112.23813,30.326857",0716,荆州市,湖北省
421200,"114.328963,29.832798",0715,咸宁市,湖北省
429021,"110.671525,31.744449",1719,神农架林区,湖北省
421300,"113.37377,31.717497",0722,随州市,湖北省
420200,"115.077048,30.220074",0714,黄石市,湖北省
420700,"114.890593,30.396536",0711,鄂州市,湖北省
211400,"120.856394,40.755572",0429,葫芦岛市,辽宁省
210200,"121.618622,38.91459",0411,大连市,辽宁省
210600,"124.383044,40.124296",0415,丹东市,辽宁省
210700,"121.135742,41.119269",0416,锦州市,辽宁省
210400,"123.921109,41.875956",0413,抚顺市,辽宁省
210100,"123.429096,41.796767",024,沈阳市,辽宁省
211200,"123.844279,42.290585",0410,铁岭市,辽宁省
210800,"122.235151,40.667432",0417,营口市,辽宁省
211300,"120.451176,41.576758",0421,朝阳市,辽宁省
211000,"123.18152,41.269402",0419,辽阳市,辽宁省
210300,"122.995632,41.110626",0412,鞍山市,辽宁省
210900,"121.648962,42.011796",0418,阜新市,辽宁省
211100,"122.06957,41.124484",0427,盘锦市,辽宁省
210500,"123.770519,41.297909",0414,本溪市,辽宁省
370600,"121.391382,37.539297",0535,烟台市,山东省
371000,"122.116394,37.509691",0631,威海市,山东省
370200,"120.355173,36.082982",0532,青岛市,山东省
370300,"118.047648,36.814939",0533,淄博市,山东省
371300,"118.326443,35.065282",0539,临沂市,山东省
371500,"115.980367,36.456013",0635,聊城市,山东省
370700,"119.107078,36.70925",0536,潍坊市,山东省
370400,"117.557964,34.856424",0632,枣庄市,山东省
370500,"118.66471,37.434564",0546,东营市,山东省
371600,"118.016974,37.383542",0543,滨州市,山东省
371100,"119.461208,35.428588",0633,日照市,山东省
370800,"116.587245,35.415393",0537,济宁市,山东省
370900,"117.129063,36.194968",0538,泰安市,山东省
371400,"116.307428,37.453968",0534,德州市,山东省
370100,"117.000923,36.675807",0531,济南市,山东省
371700,"115.469381,35.246531",0530,菏泽市,山东省
320700,"119.178821,34.600018",0518,连云港市,江苏省
321100,"119.452753,32.204402",0511,镇江市,江苏省
321300,"118.275162,33.963008",0527,宿迁市,江苏省
320100,"118.767413,32.041544",025,南京市,江苏省
320600,"120.864608,32.016212",0513,南通市,江苏省
320800,"119.021265,33.597506",0517,淮安市,江苏省
320300,"117.184811,34.261792",0516,徐州市,江苏省
320900,"120.139998,33.377631",0515,盐城市,江苏省
321200,"119.915176,32.484882",0523,泰州市,江苏省
321000,"119.421003,32.393159",0514,扬州市,江苏省
320200,"120.301663,31.574729",0510,无锡市,江苏省
320400,"119.946973,31.772752",0519,常州市,江苏省
320500,"120.619585,31.299379",0512,苏州市,江苏省
611000,"109.939776,33.868319",0914,商洛市,陕西省
610100,"108.948024,34.263161",029,西安市,陕西省
610700,"107.028621,33.077668",0916,汉中市,陕西省
610200,"108.979608,34.916582",0919,铜川市,陕西省
610900,"109.029273,32.6903",0915,安康市,陕西省
610800,"109.741193,38.290162",0912,榆林市,陕西省
610600,"109.49081,36.596537",0911,延安市,陕西省
610300,"107.14487,34.369315",0917,宝鸡市,陕西省
610400,"108.705117,34.333439",0910,咸阳市,陕西省
610500,"109.502882,34.499381",0913,渭南市,陕西省
310100,"121.472644,31.231706",021,上海市,上海市
520300,"106.937265,27.706626",0852,遵义市,贵州省
522600,"107.977488,26.583352",0855,黔东南苗族侗族自治州,贵州省
520200,"104.846743,26.584643",0858,六盘水市,贵州省
520600,"109.191555,27.718346",0856,铜仁市,贵州省
522700,"107.517156,26.258219",0854,黔南布依族苗族自治州,贵州省
522300,"104.897971,25.08812",0859,黔西南布依族苗族自治州,贵州省
520400,"105.932188,26.245544",0853,安顺市,贵州省
520500,"105.28501,27.301693",0857,毕节市,贵州省
520100,"106.713478,26.578343",0851,贵阳市,贵州省
500200,"108.170255,29.291965",023,重庆市,重庆市
500100,"106.504962,29.533155",023,重庆市,重庆市
540300,"97.178452,31.136875",0895,昌都市,西藏自治区
540600,"92.060214,31.476004",0896,那曲市,西藏自治区
540100,"91.132212,29.660361",0891,拉萨市,西藏自治区
540200,"88.885148,29.267519",0892,日喀则市,西藏自治区
540500,"91.766529,29.236023",0893,山南市,西藏自治区
540400,"94.362348,29.654693",0894,林芝市,西藏自治区
542500,"80.105498,32.503187",0897,阿里地区,西藏自治区
340600,"116.794664,33.971707",0561,淮北市,安徽省
341200,"115.819729,32.896969",1558,阜阳市,安徽省
340500,"118.507906,31.689362",0555,马鞍山市,安徽省
340700,"117.816576,30.929935",0562,铜陵市,安徽省
341700,"117.489157,30.656037",0566,池州市,安徽省
341600,"115.782939,33.869338",0558,亳州市,安徽省
340300,"117.363228,32.939667",0552,蚌埠市,安徽省
341100,"118.316264,32.303627",0550,滁州市,安徽省
341500,"116.507676,31.752889",0564,六安市,安徽省
340800,"117.043551,30.50883",0556,安庆市,安徽省
341000,"118.317325,29.709239",0559,黄山市,安徽省
341800,"118.757995,30.945667",0563,宣城市,安徽省
340400,"117.018329,32.647574",0554,淮南市,安徽省
340100,"117.283042,31.86119",0551,合肥市,安徽省
341300,"116.984084,33.633891",0557,宿州市,安徽省
340200,"118.376451,31.326319",0553,芜湖市,安徽省
350900,"119.527082,26.65924",0593,宁德市,福建省
350300,"119.007558,25.431011",0594,莆田市,福建省
350800,"117.02978,25.091603",0597,龙岩市,福建省
350100,"119.306239,26.075302",0591,福州市,福建省
350500,"118.589421,24.908853",0595,泉州市,福建省
350200,"118.11022,24.490474",0592,厦门市,福建省
350600,"117.661801,24.510897",0596,漳州市,福建省
350700,"118.178459,26.635627",0599,南平市,福建省
350400,"117.635001,26.265444",0598,三明市,福建省
430600,"113.132855,29.37029",0730,岳阳市,湖南省
430900,"112.355042,28.570066",0737,益阳市,湖南省
431300,"112.008497,27.728136",0738,娄底市,湖南省
430400,"112.607693,26.900358",0734,衡阳市,湖南省
430100,"112.982279,28.19409",0731,长沙市,湖南省
430800,"110.479921,29.127401",0744,张家界市,湖南省
431200,"109.97824,27.550082",0745,怀化市,湖南省
433100,"109.739735,28.314296",0743,湘西土家族苗族自治州,湖南省
430700,"111.691347,29.040225",0736,常德市,湖南省
430200,"113.151737,27.835806",0733,株洲市,湖南省
430500,"111.46923,27.237842",0739,邵阳市,湖南省
430300,"112.944052,27.82973",0732,湘潭市,湖南省
431100,"111.608019,26.434516",0746,永州市,湖南省
431000,"113.032067,25.793589",0735,郴州市,湖南省
469024,"109.687697,19.908293",1896,临高县,海南省
469021,"110.349235,19.684966",0806,定安县,海南省
469025,"109.452606,19.224584",0802,白沙黎族自治县,海南省
469026,"109.053351,19.260968",0803,昌江黎族自治县,海南省
469006,"110.388793,18.796216",1898,万宁市,海南省
469022,"110.102773,19.362916",1892,屯昌县,海南省
469030,"109.839996,19.03557",1899,琼中黎族苗族自治县,海南省
469002,"110.466785,19.246011",1894,琼海市,海南省
469007,"108.653789,19.10198",0807,东方市,海南省
469027,"109.175444,18.74758",2802,乐东黎族自治县,海南省
469001,"109.516662,18.776921",1897,五指山市,海南省
469029,"109.70245,18.636371",0801,保亭黎族苗族自治县,海南省
460400,"109.576782,19.517486",0805,儋州市,海南省
469005,"110.753975,19.612986",1893,文昌市,海南省
469028,"110.037218,18.505006",0809,陵水黎族自治县,海南省
460300,"112.34882,16.831039",2898,三沙市,海南省
460200,"109.508268,18.247872",0899,三亚市,海南省
469023,"110.007147,19.737095",0804,澄迈县,海南省
460100,"110.33119,20.031971",0898,海口市,海南省
630200,"102.10327,36.502916",0972,海东市,青海省
632500,"100.619542,36.280353",0974,海南藏族自治州,青海省
632800,"97.370785,37.374663",0977,海西蒙古族藏族自治州,青海省
632700,"97.008522,33.004049",0976,玉树藏族自治州,青海省
632300,"102.019988,35.517744",0973,黄南藏族自治州,青海省
632600,"100.242143,34.4736",0975,果洛藏族自治州,青海省
630100,"101.778916,36.623178",0971,西宁市,青海省
632200,"100.901059,36.959435",0970,海北藏族自治州,青海省
451000,"106.616285,23.897742",0776,百色市,广西壮族自治区
450700,"108.624175,21.967127",0777,钦州市,广西壮族自治区
450500,"109.119254,21.473343",0779,北海市,广西壮族自治区
450300,"110.299121,25.274215",0773,桂林市,广西壮族自治区
451200,"108.062105,24.695899",0778,河池市,广西壮族自治区
450200,"109.411703,24.314617",0772,柳州市,广西壮族自治区
450100,"108.320004,22.82402",0771,南宁市,广西壮族自治区
451300,"109.229772,23.733766",1772,来宾市,广西壮族自治区
451400,"107.353926,22.404108",1771,崇左市,广西壮族自治区
450600,"108.345478,21.614631",0770,防城港市,广西壮族自治区
450400,"111.297604,23.474803",0774,梧州市,广西壮族自治区
451100,"111.552056,24.414141",1774,贺州市,广西壮族自治区
450800,"109.602146,23.0936",1755,贵港市,广西壮族自治区
450900,"110.154393,22.63136",0775,玉林市,广西壮族自治区
640400,"106.285241,36.004561",0954,固原市,宁夏回族自治区
640500,"105.189568,37.514951",1953,中卫市,宁夏回族自治区
640100,"106.278179,38.46637",0951,银川市,宁夏回族自治区
640200,"106.376173,39.01333",0952,石嘴山市,宁夏回族自治区
640300,"106.199409,37.986165",0953,吴忠市,宁夏回族自治区
360400,"115.992811,29.712034",0792,九江市,江西省
360500,"114.930835,27.810834",0790,新余市,江西省
361000,"116.358351,27.98385",0794,抚州市,江西省
360600,"117.033838,28.238638",0701,鹰潭市,江西省
360700,"114.940278,25.85097",0797,赣州市,江西省
360100,"115.892151,28.676493",0791,南昌市,江西省
360800,"114.986373,27.111699",0796,吉安市,江西省
360300,"113.852186,27.622946",0799,萍乡市,江西省
360900,"114.391136,27.8043",0795,宜春市,江西省
360200,"117.214664,29.29256",0798,景德镇市,江西省
361100,"117.971185,28.44442",0793,上饶市,江西省
330300,"120.672111,28.000575",0577,温州市,浙江省
330200,"121.549792,29.868388",0574,宁波市,浙江省
330900,"122.106863,30.016028",0580,舟山市,浙江省
330400,"120.750865,30.762653",0573,嘉兴市,浙江省
331000,"121.428599,28.661378",0576,台州市,浙江省
331100,"119.921786,28.451993",0578,丽水市,浙江省
330100,"120.153576,30.287459",0571,杭州市,浙江省
330600,"120.582112,29.997117",0575,绍兴市,浙江省
330500,"120.102398,30.867198",0572,湖州市,浙江省
330800,"118.87263,28.941708",0570,衢州市,浙江省
330700,"119.649506,29.089524",0579,金华市,浙江省
130800,"117.939152,40.976204",0314,承德市,河北省
130200,"118.175393,39.635113",0315,唐山市,河北省
131000,"116.704441,39.523927",0316,廊坊市,河北省
130300,"119.586579,39.942531",0335,秦皇岛市,河北省
130600,"115.482331,38.867657",0312,保定市,河北省
130100,"114.502461,38.045474",0311,石家庄市,河北省
130700,"114.884091,40.811901",0313,张家口市,河北省
130400,"114.490686,36.612273",0310,邯郸市,河北省
130500,"114.508851,37.0682",0319,邢台市,河北省
131100,"115.665993,37.735097",0318,衡水市,河北省
130900,"116.857461,38.310582",0317,沧州市,河北省
620200,"98.277304,39.786529",1937,嘉峪关市,甘肃省
620900,"98.510795,39.744023",0937,酒泉市,甘肃省
620300,"102.187888,38.514238",0935,金昌市,甘肃省
620100,"103.823557,36.058039",0931,兰州市,甘肃省
620800,"106.684691,35.54279",0933,平凉市,甘肃省
620400,"104.173606,36.54568",0943,白银市,甘肃省
620500,"105.724998,34.578529",0938,天水市,甘肃省
620600,"102.634697,37.929996",1935,武威市,甘肃省
621200,"104.929379,33.388598",2935,陇南市,甘肃省
623000,"102.911008,34.986354",0941,甘南藏族自治州,甘肃省
622900,"103.212006,35.599446",0930,临夏回族自治州,甘肃省
620700,"100.455472,38.932897",0936,张掖市,甘肃省
621000,"107.638372,35.734218",0934,庆阳市,甘肃省
621100,"104.626294,35.579578",0932,定西市,甘肃省
510800,"105.829757,32.433668",0839,广元市,四川省
511300,"106.082974,30.795281",0817,南充市,四川省
511900,"106.753669,31.858809",0827,巴中市,四川省
510600,"104.398651,31.127991",0838,德阳市,四川省
510700,"104.741722,31.46402",0816,绵阳市,四川省
510100,"104.065735,30.659462",028,成都市,四川省
511600,"106.633369,30.456398",0826,广安市,四川省
511700,"107.502262,31.209484",0818,达州市,四川省
510900,"105.571331,30.513311",0825,遂宁市,四川省
512000,"104.641917,30.122211",0832,资阳市,四川省
511400,"103.831788,30.048318",1833,眉山市,四川省
511000,"105.066138,29.58708",1832,内江市,四川省
511100,"103.761263,29.582024",0833,乐山市,四川省
510300,"104.773447,29.352765",0813,自贡市,四川省
510500,"105.443348,28.889138",0830,泸州市,四川省
511500,"104.630825,28.760189",0831,宜宾市,四川省
513400,"102.258746,27.886762",0834,凉山彝族自治州,四川省
510400,"101.716007,26.580446",0812,攀枝花市,四川省
513200,"102.221374,31.899792",0837,阿坝藏族羌族自治州,四川省
511800,"103.001033,29.987722",0835,雅安市,四川省
513300,"101.963815,30.050663",0836,甘孜藏族自治州,四川省
220100,"125.3245,43.886841",0431,长春市,吉林省
220700,"124.823608,45.118243",0438,松原市,吉林省
220800,"122.841114,45.619026",0436,白城市,吉林省
220200,"126.55302,43.843577",0432,吉林市,吉林省
220400,"125.145349,42.902692",0437,辽源市,吉林省
220300,"124.370785,43.170344",0434,四平市,吉林省
222400,"129.513228,42.904823",1433,延边朝鲜族自治州,吉林省
220600,"126.427839,41.942505",0439,白山市,吉林省
220500,"125.936501,41.721177",0435,通化市,吉林省
120100,"117.190182,39.125596",022,天津市,天津市
530600,"103.717216,27.336999",0870,昭通市,云南省
530300,"103.797851,25.501557",0874,曲靖市,云南省
532800,"100.797941,22.001724",0691,西双版纳傣族自治州,云南省
532500,"103.384182,23.366775",0873,红河哈尼族彝族自治州,云南省
533300,"98.854304,25.850949",0886,怒江傈僳族自治州,云南省
530400,"102.543907,24.350461",0877,玉溪市,云南省
532900,"100.225668,25.589449",0872,大理白族自治州,云南省
530700,"100.233026,26.872108",0888,丽江市,云南省
533400,"99.706463,27.826853",0887,迪庆藏族自治州,云南省
532600,"104.24401,23.36951",0876,文山壮族苗族自治州,云南省
530800,"100.972344,22.777321",0879,普洱市,云南省
530500,"99.167133,25.111802",0875,保山市,云南省
530100,"102.712251,25.040609",0871,昆明市,云南省
532300,"101.546046,25.041988",0878,楚雄彝族自治州,云南省
530900,"100.08697,23.886567",0883,临沧市,云南省
533100,"98.578363,24.436694",0692,德宏傣族景颇族自治州,云南省
110100,"116.405285,39.904989",010,北京市,北京市
140300,"113.583285,37.861188",0353,阳泉市,山西省
140100,"112.549248,37.857014",0351,太原市,山西省
141000,"111.517973,36.08415",0357,临汾市,山西省
140800,"111.003957,35.022778",0359,运城市,山西省
140400,"113.113556,36.191112",0355,长治市,山西省
140600,"112.433387,39.331261",0349,朔州市,山西省
140900,"112.733538,38.41769",0350,忻州市,山西省
140500,"112.851274,35.497553",0356,晋城市,山西省
140700,"112.736465,37.696495",0354,晋中市,山西省
141100,"111.134335,37.524366",0358,吕梁市,山西省
140200,"113.295259,40.09031",0352,大同市,山西省
810000,"114.173355,22.320048",1852.0,香港,香港特别行政区
820000,"113.54909,22.198951",1853.0,澳门,澳门特别行政区
830000,,,台湾,台湾省
