fullname,id,location.lat,location.lng,name
崇左市,451400,22.37895,107.36485,崇左
海口市,460100,20.04422,110.19989,海口
三亚市,460200,18.25248,109.51209,三亚
三沙市,460300,16.83272,112.33356,三沙
儋州市,460400,19.52093,109.58069,儋州
五指山市,469001,18.77515,109.51696,五指山
琼海市,469002,19.25838,110.47464,琼海
文昌市,469005,19.54329,110.79774,文昌
万宁市,469006,18.79532,110.38975,万宁
东方市,469007,19.09614,108.65367,东方
定安县,469021,19.68121,110.3593,定安
屯昌县,469022,19.35182,110.10347,屯昌
澄迈县,469023,19.73849,110.00487,澄迈
临高县,469024,19.91243,109.69077,临高
白沙黎族自治县,469025,19.22543,109.45167,白沙
昌江黎族自治县,469026,19.29828,109.05559,昌江
乐东黎族自治县,469027,18.74986,109.17361,乐东
陵水黎族自治县,469028,18.50596,110.0372,陵水
保亭黎族苗族自治县,469029,18.63905,109.70259,保亭
琼中黎族苗族自治县,469030,19.03334,109.83839,琼中
万州区,500101,30.8079,108.40873,万州
涪陵区,500102,29.70239,107.38779,涪陵
渝中区,500103,29.55314,106.5686,渝中
大渡口区,500104,29.48408,106.48225,大渡口
江北区,500105,29.60661,106.57439,江北
沙坪坝区,500106,29.54098,106.45773,沙坪坝
九龙坡区,500107,29.50207,106.5114,九龙坡
南岸区,500108,29.52168,106.56256,南岸
北碚区,500109,29.80583,106.39628,北碚
綦江区,500110,28.96463,106.92852,綦江
大足区,500111,29.48604,105.78017,大足
渝北区,500112,29.71798,106.63043,渝北
巴南区,500113,29.40268,106.54041,巴南
黔江区,500114,29.53348,108.77079,黔江
长寿区,500115,29.85781,107.08105,长寿
江津区,500116,29.29014,106.25936,江津
合川区,500117,29.97288,106.27679,合川
永川区,500118,29.356,105.92709,永川
南川区,500119,29.15788,107.09896,南川
璧山区,500120,29.59202,106.22742,璧山
铜梁区,500151,29.84475,106.05638,铜梁
潼南区,500152,30.19054,105.83952,潼南
荣昌区,500153,29.41671,105.61188,荣昌
开州区,500154,31.16098,108.39311,开州
梁平区,500155,30.67373,107.80235,梁平
武隆区,500156,29.32543,107.75993,武隆
城口县,500229,31.94767,108.66433,城口
丰都县,500230,29.86352,107.73085,丰都
垫江县,500231,30.3268,107.33515,垫江
忠县,500233,30.30026,108.03767,忠县
云阳县,500235,30.93063,108.69698,云阳
奉节县,500236,31.01846,109.46406,奉节
巫山县,500237,31.07462,109.8788,巫山
巫溪县,500238,31.3986,109.57016,巫溪
石柱土家族自治县,500240,29.99968,108.11415,石柱
秀山土家族苗族自治县,500241,28.44832,109.00714,秀山
酉阳土家族苗族自治县,500242,28.84126,108.76778,酉阳
彭水苗族土家族自治县,500243,29.29376,108.16555,彭水
成都市,510100,30.5702,104.06476,成都
自贡市,510300,29.3392,104.77844,自贡
攀枝花市,510400,26.58228,101.71872,攀枝花
泸州市,510500,28.8717,105.44257,泸州
德阳市,510600,31.12679,104.3979,德阳
绵阳市,510700,31.46751,104.6796,绵阳
广元市,510800,32.43549,105.84357,广元
遂宁市,510900,30.53286,105.59273,遂宁
内江市,511000,29.58015,105.05844,内江
乐山市,511100,29.55221,103.76539,乐山
南充市,511300,30.83731,106.11073,南充
眉山市,511400,30.07563,103.84851,眉山
宜宾市,511500,28.7513,104.6417,宜宾
广安市,511600,30.45596,106.63322,广安
达州市,511700,31.20864,107.46791,达州
雅安市,511800,30.01053,103.0424,雅安
巴中市,511900,31.86715,106.74733,巴中
资阳市,512000,30.12859,104.62798,资阳
阿坝藏族羌族自治州,513200,31.8994,102.22477,阿坝
甘孜藏族自治州,513300,30.04932,101.96254,甘孜
凉山彝族自治州,513400,27.88164,102.26746,凉山
贵阳市,520100,26.64702,106.63024,贵阳
六盘水市,520200,26.59336,104.83023,六盘水
遵义市,520300,27.72545,106.92723,遵义
安顺市,520400,26.25367,105.9462,安顺
毕节市,520500,27.29847,105.30504,毕节
铜仁市,520600,27.69066,109.18099,铜仁
黔西南布依族苗族自治州,522300,25.08988,104.90437,黔西南
黔东南苗族侗族自治州,522600,26.58364,107.98416,黔东南
黔南布依族苗族自治州,522700,26.25427,107.52226,黔南
昆明市,530100,24.87966,102.83322,昆明
曲靖市,530300,25.49002,103.79625,曲靖
玉溪市,530400,24.3518,102.54714,玉溪
保山市,530500,25.11205,99.16181,保山
昭通市,530600,27.33817,103.7168,昭通
丽江市,530700,26.85648,100.2271,丽江
普洱市,530800,22.82521,100.96624,普洱
临沧市,530900,23.88426,100.08884,临沧
楚雄彝族自治州,532300,25.04495,101.52767,楚雄
红河哈尼族彝族自治州,532500,23.36422,103.3756,红河
文山壮族苗族自治州,532600,23.39849,104.21504,文山
西双版纳傣族自治州,532800,22.00749,100.79739,西双版纳
大理白族自治州,532900,25.60648,100.26764,大理
德宏傣族景颇族自治州,533100,24.43232,98.58486,德宏
怒江傈僳族自治州,533300,25.81763,98.8567,怒江
迪庆藏族自治州,533400,27.81908,99.70305,迪庆
拉萨市,540100,29.64415,91.1145,拉萨
日喀则市,540200,29.26705,88.88116,日喀则
昌都市,540300,31.14073,97.17225,昌都
林芝市,540400,29.64895,94.36155,林芝
山南市,540500,29.23705,91.77313,山南
那曲市,540600,31.47614,92.05136,那曲
阿里地区,542500,30.40051,81.1454,阿里
西安市,610100,34.34127,108.93984,西安
铜川市,610200,34.89673,108.94515,铜川
宝鸡市,610300,34.36194,107.23732,宝鸡
咸阳市,610400,34.32932,108.70929,咸阳
渭南市,610500,34.49997,109.51015,渭南
延安市,610600,36.58529,109.48978,延安
汉中市,610700,33.06761,107.02377,汉中
榆林市,610800,38.2852,109.73458,榆林
安康市,610900,32.68486,109.02932,安康
商洛市,611000,33.87036,109.94041,商洛
兰州市,620100,36.06138,103.83417,兰州
嘉峪关市,620200,39.77194,98.28971,嘉峪关
金昌市,620300,38.52006,102.18759,金昌
白银市,620400,36.5447,104.13773,白银
天水市,620500,34.58085,105.72486,天水
武威市,620600,37.9282,102.63797,武威
张掖市,620700,38.92592,100.44981,张掖
平凉市,620800,35.54303,106.6653,平凉
酒泉市,620900,39.73255,98.49394,酒泉
庆阳市,621000,35.70978,107.64292,庆阳
定西市,621100,35.58113,104.62524,定西
陇南市,621200,33.401,104.92166,陇南
临夏回族自治州,622900,35.60122,103.21091,临夏
甘南藏族自治州,623000,34.98327,102.91102,甘南
西宁市,630100,36.61729,101.77782,西宁
海东市,630200,36.48209,102.40173,海东
海北藏族自治州,632200,36.95454,100.90096,海北
黄南藏族自治州,632300,35.51991,102.01507,黄南
海南藏族自治州,632500,36.28663,100.62037,海南
果洛藏族自治州,632600,34.47141,100.24475,果洛
玉树藏族自治州,632700,33.00528,97.0065,玉树
海西蒙古族藏族自治州,632800,37.3771,97.37122,海西
银川市,640100,38.48644,106.23248,银川
石嘴山市,640200,38.9841,106.38418,石嘴山
吴忠市,640300,37.99755,106.19879,吴忠
固原市,640400,36.0158,106.24259,固原
中卫市,640500,37.50026,105.19676,中卫
乌鲁木齐市,650100,43.82663,87.61688,乌鲁木齐
克拉玛依市,650200,45.57999,84.88927,克拉玛依
吐鲁番市,650400,42.9513,89.18954,吐鲁番
哈密市,650500,42.81855,93.51538,哈密
昌吉回族自治州,652300,44.01117,87.30822,昌吉
博尔塔拉蒙古自治州,652700,44.90597,82.06665,博州
巴音郭楞蒙古自治州,652800,41.76404,86.14517,巴州
阿克苏地区,652900,41.16842,80.26008,阿克苏
克孜勒苏柯尔克孜自治州,653000,39.7153,76.16661,克州
喀什地区,653100,39.47042,75.98976,喀什
和田地区,653200,37.11431,79.92247,和田
伊犁哈萨克自治州,654000,43.91689,81.32416,伊犁
塔城地区,654200,46.74532,82.98046,塔城
阿勒泰地区,654300,47.84564,88.14023,阿勒泰
石河子市,659001,44.30653,86.07893,石河子
阿拉尔市,659002,40.54798,81.28067,阿拉尔
图木舒克市,659003,39.86495,79.06902,图木舒克
五家渠市,659004,44.16799,87.54017,五家渠
北屯市,659005,47.36327,87.80014,北屯
铁门关市,659006,41.86868,85.67583,铁门关
双河市,659007,44.84418,82.35501,双河
可克达拉市,659008,43.94799,81.04476,可克达拉
昆玉市,659009,37.20948,79.29133,昆玉
台北市,710100,25.030724,121.520076,台北
高雄市,710200,22.630576,120.306839,高雄
台南市,710300,22.998601,120.187817,台南
台中市,710400,24.143171,120.679882,台中
南投县,710600,23.919619,120.670008,南投
基隆市,710700,25.122105,121.741526,基隆
新竹市,710800,24.784924,120.990745,新竹
嘉义市,710900,23.485079,120.472462,嘉义
新北市,711100,25.1853,121.663675,新北
宜兰县,711200,24.759707,121.754442,宜兰
新竹县,711300,24.839233,121.002012,新竹
桃园市,711400,24.982757,121.213608,桃园
苗栗县,711500,24.696762,120.884337,苗栗
彰化县,711700,24.068523,120.557479,彰化
嘉义县,711900,23.434473,120.624255,嘉义
云林县,712100,23.664943,120.480738,云林
屏东县,712400,22.666716,120.492005,屏东
台东县,712500,22.764364,121.113207,台东
花莲县,712600,24.000674,121.59729,花莲
澎湖县,712700,23.552351,119.58457,澎湖
中西区,810101,22.27629,114.16368,中西区
东区,810102,22.28137,114.22914,东区
九龙城区,810103,22.30818,114.18895,九龙
观塘区,810104,22.31057,114.2306,观塘区
南区,810105,22.24543,114.15806,南区
深水埗区,810106,22.32921,114.16856,深水埗区
湾仔区,810107,22.27469,114.17778,湾仔区
黄大仙区,810108,22.34003,114.19584,黄大仙区
油尖旺区,810109,22.31898,114.17738,油尖旺区
离岛区,810110,22.2817,113.94691,离岛区
葵青区,810111,22.36055,114.13654,葵青区
北区,810112,22.49181,114.14312,北区
西贡区,810113,22.37943,114.27699,西贡区
沙田区,810114,22.3827,114.19191,沙田区
屯门区,810115,22.38767,113.98029,屯门区
大埔区,810116,22.448,114.16946,大埔区
荃湾区,810117,22.37145,114.12001,荃湾区
元朗区,810118,22.44243,114.03181,元朗区
澳门半岛,820101,22.18684,113.54294,澳门半岛
凼仔,820102,22.15473,113.55929,凼仔
路凼城,820103,22.13867,113.56828,路凼城
路环,820104,22.11501,113.55724,路环
