fields.discountPrice,fields.price,discount,fields.title,fields.shortInfo
20.0,33.0,6.1,当天可订！海南旅游海口火山群火山口国家地质国家公园门票景点区,海口
125.0,205.9,6.1,当天可订】深圳世界之窗门票 世界之窗全天票（不出园可玩夜场）,深圳
61.0,100.0,6.1,ZY【当天可定】广东 东莞龙凤山庄影视度假村 成人观光票大门票,东莞
39.5,65.0,6.1,【赏花游玩】江苏苏州尚湖风景区 大门票尚湖景区电子票,苏州
198.0,318.0,6.2,【官方|当天可订】苏州甪直古镇门票+万盛水道游船包船可坐8人,苏州
130.6,210.0,6.2,【随买随用】深圳世界之窗门票 深圳世界之窗门票日场+夜场票,深圳
82.99,133.0,6.2,[即买即用] 北京南宫温泉水世界门票 南宫温泉水世界门票 成人票,北京
73.01,118.0,6.2,【当天可订】广东茂名御水古温泉度假村门票 茂名御水古温泉门票,茂名
50.0,80.0,6.2,【当天可定】张家界旅游土家风情园门票土司城电子票方便快捷J,张家界
27.88,45.0,6.2,当天可订，海南三亚崖州古越游览门票,三亚
68.5,110.1,6.2,【电子票】广东东莞香市动物园门票（含海洋动物园表演+7项游乐）,东莞
124.0,192.8,6.4,【当日可订】深圳世界之窗门票 日夜场通玩 包含夜场 入园快速,深圳
122.0,192.0,6.4,【当天可订】深圳世界之窗门票 全天包含夜场 日场成人票,深圳
190.0,299.0,6.4,【赠往返穿梭巴士】香港杜莎夫人蜡像馆门票太平山顶蜡像馆大门票,香港
369.0,565.0,6.5,【当天可定】上海迪士尼门票上海迪士尼乐园1日门票一日迪斯尼票,上海
160.0,248.0,6.5,【当天可订】烟台海昌雨岱山温泉门票 温泉+欢乐海岸游乐广场门票,烟台
28.0,43.0,6.5,电子票-出票快！万宁兴隆热带植物园门票三亚旅游景点景区门票,万宁市
120.0,184.0,6.5,桂林旅游景点门票春晚分会场象鼻山景区公园+芦笛岩景区门票套票,桂林
36.5,55.0,6.6,【扫码入园方便快捷】湖北武汉花博汇大门票花博汇景区门票,武汉
85.0,128.0,6.6,重庆朝天两江游船票朝天门朝天宫游船重庆两江夜游船票旅游门票,重庆
21.0,32.0,6.6,提前半小时购买！海南万宁市东山岭风景区门票 海南第一山,万宁市
200.0,300.0,6.7,芭提雅东方公主号人妖秀表演门票 泰国芭堤雅旅游 人妖秀表演,芭堤雅
200.0,300.0,6.7,泰国芭提雅东方公主号游轮 芭堤雅人妖秀表演门票含自助餐旅游,芭堤雅
59.9,90.0,6.7,官方票！三亚凤凰岭公园海誓山盟景区门票+往返索道老人票优惠,三亚
60.0,89.91,6.7,当天可定 厦门鼓浪屿五大景点联票含日光岩门票套票鼓浪屿景点票,厦门
303.0,453.0,6.7,【当天可订 成人儿童含小食餐券】香港海洋公园门票含缆车含餐券,香港
363.9,544.0,6.7,?当天可订上海迪士尼门票上海迪士尼乐园1日门票迪斯尼导览服务,上海
19.5,29.0,6.7,【当天可订 电子票】香港海龙明珠维港夜游船票维多利亚港夜游船,香港
26.0,39.0,6.7,【自动发码】江苏扬州凤凰岛景区大门票 扬州凤凰岛成人票电子票,扬州
60.0,90.0,6.7,东方明珠九号卡丁体验票【仅限现场扫码购买 不含景区大门票】,上海
80.0,120.0,6.7,桂林旅游景点门票城徽象鼻山景区公园门票叠彩山送伏坡山门票套票,桂林
398.0,596.0,6.7,【官方特惠】珠海海泉湾海洋原创套票 海洋温泉门票+原创按摩门票,珠海
60.0,88.0,6.8,"出票快,马上入园,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
135.0,200.0,6.8,桂林旅游门票独秀峰王城靖江王府+芦笛岩景区套票快速入园,桂林
60.0,88.0,6.8,"出票快,当天可订,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
60.0,88.0,6.8,"出票快,当天可订,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
250.0,368.0,6.8,桂林旅游门票漓江三星豪华游船船票磨盘山阳朔全程游漓江含餐船票,桂林
218.0,318.0,6.9,【赠到演出点交通】官方又见五台山门票山西旅游实景演出成人门票,忻州
360.0,518.0,6.9,【官方联票】杭州宋城千古情贵宾席演出票+云曼温泉成人联票,杭州
118.0,170.0,6.9,51大促|仅118 糖果世界周边亲子票济宁菏泽临沂盐城淮安亳州等,徐州
38.0,55.0,6.9,桂林旅游阳朔景点门票十里画廊蝴蝶泉景点门票电子票含蝴蝶泉表演,桂林
217.9,317.9,6.9,又见五台山门票【官方代售 赠往返交通】实景演出成人电子票,忻州
47.0,68.0,6.9,当天可订！ 琼海博鳌亚洲论坛成立会址门票+玉带滩往返船票,琼海市
318.0,460.0,6.9,【官方联票】三亚千古情演出贵宾席+呀诺达门票成人联票,三亚
47.0,68.0,6.9,当天可订！ 琼海博鳌亚洲论坛成立会址门票+玉带滩往返船票,琼海市
48.0,70.0,6.9,桂林阳朔旅游景点门票阳朔十里画廊精华景点蝴蝶泉+大榕树电子票,桂林
47.0,68.0,6.9,当天可订！ 琼海博鳌亚洲论坛成立会址门票+玉带滩往返船票,琼海市
